OBJECTID,LOC_ID,FAC_TYP,FAC_SVC,PUB_PKG,SPACE_NO,COMMENTS,RESERV,FEE,HRLY_RATE,DLY_MAX,TM_LMT,RATE_NOTES,MO_RATE,MO_RATE_NOTES,VAL,VAL_TM,VAL_NOTES,NGHT_WKND_RATE,NGHT_WKND_RATE_NOTES,EVENT_FEE,EVENT_NOTES,HTL_FREE,GUEST_RATE,LOT_CTRL,OWN,PKG_OP,CLV_ENF,USE_TYP,MTR_LOT_NUM,LAST_UPDATE,LAST_EDITOR,SHAPE_Length,SHAPE_Area,RV TAG,Report No,SIDE,TIME_LIMIT,DAYS,LOT,ZONE_TYPE,HOURS,LMT_DISPLAY,FLAG,Fiscal year,Location 1
66,66,Surface,Law Office - Craig P. Kenny & Assoc.,N,10,Private,Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,208.260879577731,2542.10982235465,,,,,,,,,,,2017,"729 S 7th St
Las Vegas, Nevada
(36.160439, -115.143502)"
426,432,Surface,Unknown,N,8,,Unknown,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,313.656171133442,6138.28235883035,,,,,,,,,,,2017,"828 S Commerce St
Las Vegas, Nevada
(36.162624, -115.152512)"
59,,Parallel,,,6,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,05/02/2017 12:00:00 AM,JHillhouse,137.05449409974,,On Street parking,4,W,4HR,S-S,42,Premium,8am-6pm,"4HR, S-S 8am-6pm",Existing,2017,"200 N. Casino Center Blvd
Las Vegas, Nevada
(36.172383, -115.142974)"
105,,Parallel,,,3,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,64.3601506948334,,On Street parking,4,N,4HR,S-S,2510,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"400 E. Ogden
Las Vegas, Nevada
(36.170728, -115.140671)"
189,192,Surface,Law Office,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,170.007670360006,1720.98758013134,,,,,,,,,,,2017,"522 S 7th St
Las Vegas, Nevada
(36.162792, -115.141973)"
95,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,200.39509407888,,On Street parking,4,N,10HR,M-F,129,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 Gass
Las Vegas, Nevada
(36.161065, -115.145937)"
42,,Parallel,,,10,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,288.246463890511,,On Street parking,4,E,4HR,M-F,26,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2016,"500 S. 3rd
Las Vegas, Nevada
(36.16557, -115.145999)"
540,546,Surface,Bridger Inn,N,11,,Guests,N,,,,,,,,,,,,,,N/A,,,,,NO,Hotel,,,,423.339600912396,10317.1658372691,,,,,,,,,,,2017,"301 S Main St
Las Vegas, Nevada
(36.169213, -115.14795)"
447,453,Surface,7th St Lot,Y,19,24/7,,Y,2,10,,,,,N/A,,,,,,,N/A,,Metered,Downtown Project,City of Las Vegas,Y,Hotel,176,10/28/2015 12:00:00 AM,JHillhouse,372.198980079356,6419.47816776765,Private Lots-City Run,3,,,,,,,,,2017,"100 N 7th St
Las Vegas, Nevada
(36.169314, -115.137695)"
359,363,Surface,Downtown Motel / Apartments,N,10,,Residents & Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,377.794826398155,6966.86755340166,,,,,,,,,,,2017,"124 N 8th St
Las Vegas, Nevada
(36.168709, -115.136658)"
21,21,Surface,Business,N,18,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,284.740836639755,4787.15677115441,,,,,,,,,,,2017,"626 S 3rd St
Las Vegas, Nevada
(36.163513, -115.147305)"
497,503,Garage,Fitzgeralds,Y,364,,Guests & Validation,Y,1.5,8,,,,,Y,4,Validated,,,,,,,,,N/A,N,Gaming,,,,500.966602589225,14660.2223781461,,,,,,,,,,,2017,"115 S 3rd St
Las Vegas, Nevada
(36.169708, -115.143282)"
97,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,102.482332916378,,On Street parking,4,N,10HR,M-F,131,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"600 Hoover
Las Vegas, Nevada
(36.159431, -115.145619)"
64,,Parallel,,,11,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,330.06905866079,,On Street parking,4,W,10HR,M-F,47,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 S. 1st
Las Vegas, Nevada
(36.166311, -115.148426)"
493,499,Garage,L'Octaine Urban Apts. - Business & Apts.,N,54,Unable to access garage,Residents,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Mixed Use,,,,716.164234882179,30416.9572876472,,,,,,,,,,,2017,"801 S Las Vegas Blvd
Las Vegas, Nevada
(36.160734, -115.146155)"
343,347,Surface,Dino's Bar,N,20,,Customers,N,,,,,,,NA,,,,,,,NA,,None,,,NO,Bar/Rest,,,,438.658199071929,6339.14934291151,,,,,,,,,,,2017,"1510 S Las Vegas Blvd
Las Vegas, Nevada
(36.152391, -115.151742)"
266,270,Surface,Econo Lodge,N,82,,Motel Guests,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Hotel,,,,996.610481174925,30163.9649032744,,,,,,,,,,,2017,"1150 S Las Vegas Blvd
Las Vegas, Nevada
(36.156944, -115.148766)"
152,155,Surface,Apartments - Carmel Condo,N,28,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,349.314381686763,4776.81937521435,,,,,,,,,,,2017,"309 N 10th St
Las Vegas, Nevada
(36.169546, -115.133134)"
500,506,Surf Dirt,Unknown,N,24,"Private, Markings very faded",No Signs posted,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,375.848655756744,6912.57994356107,,,,,,,,,,,2017,"1022 S Casino Center Blvd
Las Vegas, Nevada
(36.159687, -115.15118)"
63,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,180.765482088698,,On Street parking,4,W,10HR,M-F,46,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"300 S. 1st
Las Vegas, Nevada
(36.168653, -115.146873)"
211,214,Surface,Customers Office Building,N,12,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,198.013246935302,2450.37411580038,,,,,,,,,,,2017,"626 S 9th St
Las Vegas, Nevada
(36.160529, -115.140516)"
417,423,Surface,Lenders Clearing ,N,5,,"Customer ""HC"" Parking",N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,208.210394794223,2376.01012832604,,,,,,,,,,,2017,"900 S 4th St
Las Vegas, Nevada
(36.160132, -115.148069)"
28,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,282.610436025152,,On Street parking,4,E,10HR,M-F,98,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"300 S. 6th
Las Vegas, Nevada
(36.166413, -115.141046)"
6,6,Surface,Apartments,N,11,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,208.001033114813,1985.42448129807,,,,,,,,,,,2017,"608 S 1st St
Las Vegas, Nevada
(36.165058, -115.14924)"
141,143,Surface,Gamblers Book,N,27,,Customers,N,,,,,,,NA,,,,,,,NA,,None,,,NO,Retail,,,,788.463446097119,15625.9200234666,,,,,,,,,,,2017,"808 S Main St
Las Vegas, Nevada
(36.162961, -115.151443)"
11,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,09/04/2015 12:00:00 AM,JHillhouse,227.220874724058,,On Street parking,4,W,4HR,S-S,79,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 N. 8th
Las Vegas, Nevada
(36.167758, -115.137267)"
408,414,Surface,Winfield Manor / Laundromat,N,48,Unstriped Lot approx 48 spaces.,Residents & Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Mixed Use,,,,592.824490102578,18013.412531904,,,,,,,,,,,2017,"1116 Casino Center Blvd
Las Vegas, Nevada
(36.15805, -115.152305)"
17,17,Surface,Schleusner Chiropractic,N,10,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,264.831487685363,4379.32232867851,,,,,,,,,,,2017,"227 S 9th St
Las Vegas, Nevada
(36.165155, -115.137463)"
81,81,Surface,Motel,N,27,Blocked from street / Vacant,,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,461.778668329682,8810.09644572715,,,,,,,,,,,2017,"1727 S Las Vegas Blvd
Las Vegas, Nevada
(36.150492, -115.152813)"
254,258,Surface,Guitars,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,181.166716588256,2018.04372582668,,,,,,,,,,,2017,"1102 S 3rd St
Las Vegas, Nevada
(36.158478, -115.151058)"
403,409,Surface,Nevada Justice Associates,N,7,,Clients & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,296.046847212945,3964.36149433656,,,,,,,,,,,2017,"717 S 3rd St
Las Vegas, Nevada
(36.162635, -115.147885)"
56,,Parallel,,,2,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,39.3364874570789,,On Street parking,4,W,4HR,M-F,39,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2017,"300 S. 4th
Las Vegas, Nevada
(36.166989, -115.143587)"
204,207,Surface,Law Office - Marshall Law Office,N,16,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,326.293260954948,6395.86705677349,,,,,,,,,,,2017,"625 S 8th St
Las Vegas, Nevada
(36.161052, -115.141624)"
213,216,Surface,Rebuilding Together,N,6,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,217.154909004553,2892.83308187724,,,,,,,,,,,2017,"611 S 9th St
Las Vegas, Nevada
(36.161071, -115.140166)"
114,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,88.6119373700973,,On Street parking,4,S,10HR,M-F,69,Remove Existing Zone,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"400 Garces
Las Vegas, Nevada
(36.162737, -115.146365)"
126,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,235.490723010001,,On Street parking,4,S,10HR,M-F,126,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 E. Bonneville
Las Vegas, Nevada
(36.163399, -115.144398)"
69,69,Surface,Law Office - CPK Law,N,8,,Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,254.533821018825,4048.96070110812,,,,,,,,,,,2017,"724 S 8th St
Las Vegas, Nevada
(36.159895, -115.14239)"
156,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/21/2015 12:00:00 AM,JHillhouse,175.372882103106,,On Street parking,4,S,10HR,M-F,200,,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"800 E. Carson
Las Vegas, Nevada
(36.166584, -115.137989)"
229,232,Surface,Apartments - 818,N,10,,Residents,,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,245.753750813713,3654.36020182079,,,,,,,,,,,2017,"810 S 7th St
Las Vegas, Nevada
(36.159592, -115.14405)"
295,299,Surface,Office Building,N,15,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,345.708539209735,2903.47989147266,,,,,,,,,,,2017,"611 S 6th St
Las Vegas, Nevada
(36.162551, -115.143592)"
60,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,05/11/2016 12:00:00 AM,JHillhouse,284.774459004127,,On Street parking,4,E,4HR,S-S,44,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 N. 1st
Las Vegas, Nevada
(36.173029, -115.144016)"
147,150,Surface,Downtown Project,N,19,,Tenants and Visitors,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,01/30/2014 12:00:00 AM,JHillhouse,550.061163151836,14764.0177974452,,,,,,,,,,,2017,"300 N Las Vegas Blvd
Las Vegas, Nevada
(36.171914, -115.138834)"
586,593,Surface,Hotel,N,40,,Guests,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Hotel,,,,923.131868295,14921.166335909,,,,,,,,,,,2017,"2140 Paradise Rd
Las Vegas, Nevada
(36.145017, -115.154229)"
232,235,Surface,East Charleston Animal Hospital,N,20,Public Access but reserved for customers only / Private,Customers ,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,455.412037255388,9797.77636966823,,,,,,,,,,,2017,"701 E Charleston Blvd
Las Vegas, Nevada
(36.158845, -115.143947)"
377,383,Surface,AM/PM gas,N,8,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,535.674766464044,18231.4050107491,,,,,,,,,,,2017,"1619 S Las Vegas Blvd
Las Vegas, Nevada
(36.151646, -115.152058)"
123,125,Surface,Vacant,N,99,"To include 1 M/C space, Up for lease",Vacant,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,749.339783763717,32168.7352755527,,,,,,,,,,,2017,"708 S Las Vegas Blvd
Las Vegas, Nevada
(36.161771, -115.145616)"
233,236,Surface,South 7th St Plazza,N,32,Public Access but reserved for customers only.,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,693.497509445122,10531.2955099514,,,,,,,,,,,2017,"811 S 7th St
Las Vegas, Nevada
(36.159649, -115.144012)"
602,609,Garage,City Hall Garage,Y,730,,,Y,1.5,9,,,35,,Y,2,1st 2 hours free with Validation,,,3,,NA,,,City of Las Vegas,City of Las Vegas,Y,Government,,,,1170.65761919197,82611.5618337479,City Parking Structures,1,,,,,,,,,2016,"500 S. Main St
Las Vegas, Nevada
(36.166822, -115.149518)"
395,401,Surface,Focus,N,134,Locked - no entry,Employees,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,1196.28417349553,69334.8596076168,,,,,,,,,,,2017,"1200 S Commerce St
Las Vegas, Nevada
(36.156757, -115.155032)"
507,513,Surface,Law Office - Gordon Law & Lizzie Hatcher,N,6,,Clients & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,209.951842622774,2737.16121650136,,,,,,,,,,,2017,"725 S 6th St
Las Vegas, Nevada
(36.160925, -115.144646)"
179,182,Surface,Office,N,14,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,375.595390696056,4692.02549746734,,,,,,,,,,,2017,"525 S 6th St
Las Vegas, Nevada
(36.163265, -115.143131)"
163,166,Surface,Vacant (Was Fedex) Kinko's,N,14,Out of Business,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,497.036711695499,8684.62388287181,,,,,,,,,,,2017,"830 S 4th St
Las Vegas, Nevada
(36.160699, -115.1477)"
452,458,Surface,Apartments,N,8,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Residential,,,,238.009616375714,2623.8699345307,,,,,,,,,,,2017,"208 N 9th St
Las Vegas, Nevada
(36.1689, -115.135083)"
185,188,Surface,Office,N,7,,Customer,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,215.344804867705,2873.31372579356,,,,,,,,,,,2017,"500 S 7th St
Las Vegas, Nevada
(36.1634, -115.141587)"
260,264,Surface,Vacant,N,103,Vacant Lot / Partially Unmarked,Vacant,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,932.324482579856,38381.3270210999,,,,,,,,,,,2017,"330 E Charleston Blvd
Las Vegas, Nevada
(36.158771, -115.149893)"
27,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,228.736883572476,,On Street parking,4,E,10HR,M-F,97,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"400 S. 6th
Las Vegas, Nevada
(36.165251, -115.141792)"
30,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/05/2015 12:00:00 AM,JHillhouse,327.864390676825,,On Street parking,4,W,10HR,M-F,100,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"200 S. 6th
Las Vegas, Nevada
(36.167302, -115.14046)"
419,425,Surface,Apartments,N,5,"Private, Dirt parking, Unstriped spaces",Tenants,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Residential,,,,116.009558467106,596.30219300884,,,,,,,,,,,2017,"102 Gass Ave
Las Vegas, Nevada
(36.162936, -115.150309)"
508,514,Surface,Law Office - Lilian Loftman & Johnathan Schulman,N,3,Not all spaces striped,Clients & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,223.109002551437,3070.50560456625,,,,,,,,,,,2017,"721 S 6th St
Las Vegas, Nevada
(36.161046, -115.144567)"
31,31,Surface,Bail Bonds,N,30,,Customers Only,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,648.962208927123,14333.2518670887,,,,,,,,,,,2017,"1427 S Commerce St
Las Vegas, Nevada
(36.153956, -115.155318)"
386,392,Surface,Law Office,N,13,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,246.615278048647,3800.66228153768,,,,,,,,,,,2017,"701 S 9th St
Las Vegas, Nevada
(36.160205, -115.140728)"
224,227,Surface,803 6th St Business,N,5,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,221.527847717863,2161.86335769018,,,,,,,,,,,2017,"803 S 6th St
Las Vegas, Nevada
(36.160326, -115.145039)"
257,261,Surface,Apartments - Art Haus,N,29,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,390.374851832215,5217.79136056927,,,,,,,,,,,2017,"1111 S Casino Center Blvd
Las Vegas, Nevada
(36.158237, -115.15229)"
499,505,Surface,Auto Shop,N,4,,Vehicles being worked on,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,239.569611387344,2669.84435048551,,,,,,,,,,,2017,"1433 S Main St
Las Vegas, Nevada
(36.153726, -115.153928)"
25,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,351.555719698841,,On Street parking,4,E,10HR,M-F,95,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 S. 6th
Las Vegas, Nevada
(36.163887, -115.142722)"
101,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,251.127796547395,,On Street parking,4,S,4HR,S-S,152,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 E. Ogden
Las Vegas, Nevada
(36.171875, -115.143304)"
381,387,Surface,Wedding Chapel - LV Wedding Elvis Chapel,N,15,Public Access but reserved for customers only.,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,568.366535260148,9533.03528586172,,,,,,,,,,,2017,"727 S 9th St
Las Vegas, Nevada
(36.159483, -115.141213)"
420,426,Surface,Apartments,N,4,"Private, Dirt Spaces not marked",Tenants,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Residential,,,,418.35120071236,4435.45404975152,,,,,,,,,,,2017,"725 S 1st St
Las Vegas, Nevada
(36.163378, -115.150322)"
411,417,Surface,Heavenly Bliss Wedding Chapel,N,11,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Other,,,,246.545113265804,3596.74171071826,,,,,,,,,,,2017,"930 S 3rd St
Las Vegas, Nevada
(36.159837, -115.149707)"
217,220,Surface,Law Office - Williams & Assoc.,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,153.826730151925,1355.04735909303,,,,,,,,,,,2017,"612 S 10th St
Las Vegas, Nevada
(36.160467, -115.139112)"
37,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,259.769069754063,,On Street parking,4,W,4HR,M-F,21,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2017,"300 S. 3rd
Las Vegas, Nevada
(36.167904, -115.144445)"
19,,Angle,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,341.818207078143,,On Street parking,4,E,10HR,M-F,87,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"200 S. 7th
Las Vegas, Nevada
(36.167112, -115.139135)"
68,68,Surface,718 Professional Building,N,12,,Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,285.287881956607,5064.28410755752,,,,,,,,,,,2017,"718 S 8th St
Las Vegas, Nevada
(36.160064, -115.142276)"
574,581,Surface,Stratosphere,Y,120,,,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Gaming,,,,707.042710172965,30714.6122615129,,,,,,,,,,,2017,"1850 S Main St
Las Vegas, Nevada
(36.149152, -115.154329)"
559,566,Surface,Business,N,15,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,267.552129111017,4234.33957027048,,,,,,,,,,,2017,"616 S Las Vegas Blvd
Las Vegas, Nevada
(36.162812, -115.14493)"
161,164,Surface,El Sombrero,N,16,,Customers & Employees,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Bar/Rest,,,,427.393385822015,6584.91797484813,,,,,,,,,,,2017,"808 S 1st St
Las Vegas, Nevada
(36.1626, -115.15083)"
353,357,Surface,2017-07-11T00:00:00,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Retail,,,,362.567471268477,7805.44589317957,,,,,,,,,,,2017,"228 N Las Vegas Blvd
Las Vegas, Nevada
(36.171426, -115.139159)"
521,527,Surface,Union Plaza,N,323,Space numbers are approximate,,Y,5,5,,Flat Rate; Guests and Customers free,,,,,,,,,,Y,,,,,NO,Gaming,,,,1495.47330506665,132287.340044985,,,,,,,,,,,2017,"324 S Main St
Las Vegas, Nevada
(36.167982, -115.148761)"
12,,Angle,,,16,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,322.042386202838,,On Street parking,4,E,10HR,M-F,80,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"200 N. 7th
Las Vegas, Nevada
(36.169433, -115.137616)"
429,435,Surface,Hotel - Western,N,80,,Guests ,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Gaming,,,,991.36014870371,35500.0209837467,,,,,,,,,,,2017,"899 Fremont St
Las Vegas, Nevada
(36.167466, -115.136554)"
575,582,Surface,Hotel,N,39,,Guests,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Hotel,,,,923.750011930918,16644.7159582818,,,,,,,,,,,2017,"130 W Cincinnati Ave
Las Vegas, Nevada
(36.144604, -115.157321)"
235,238,Surface,Nevada Legal Services,N,42,Public Access but reserved for customers only.,Customers & Employees ,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,894.256211624095,34602.8256620417,,,,,,,,,,,2017,"800 S 8th St
Las Vegas, Nevada
(36.159401, -115.142721)"
542,548,Surface,Bank of America,N,15,,Employees,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,304.905179452847,5237.06693567845,,,,,,,,,,,2017,"303 E Bridger Ave
Las Vegas, Nevada
(36.167763, -115.144129)"
449,455,Garage,Law Office - Tingey & Tingey,N,17,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,384.004140972905,7243.02274222897,,,,,,,,,,,2017,"723 S 3rd St
Las Vegas, Nevada
(36.162511, -115.147968)"
106,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,140.710081376524,,On Street parking,4,N,4HR,S-S,51,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"200 E. Ogden
Las Vegas, Nevada
(36.171875, -115.143304)"
245,248,Surface,Browns Appliances,N,7,,N/A,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,205.572844615935,2185.70332055381,,,,,,,,,,,2017,"916 S Casino Center Blvd
Las Vegas, Nevada
(36.160755, -115.150669)"
336,340,Surface,Osvaldo Fumo,N,45,Gravel lot & parking lot -  Approx 45 spaces,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,434.058329262102,7693.22034030307,,,,,,,,,,,2017,"1212 S Casino Center Blvd
Las Vegas, Nevada
(36.156775, -115.152404)"
168,171,Surface,Apartments - Pine Tree,N,5,,Tenants,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,156.092604895289,1422.52794421018,,,,,,,,,,,2017,"831 S 3rd St
Las Vegas, Nevada
(36.161112, -115.148899)"
495,501,Surface,Apartments,N,4,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,267.59269692885,4171.35402685649,,,,,,,,,,,2017,"407 N 8th St
Las Vegas, Nevada
(36.171623, -115.134843)"
161,,Parallel,,,4,,,,$2.00 per Hour,,,,,,,,,,,,,,,,,,,,,09/08/2016 12:00:00 AM,JHillhouse,107.913084241977,,On Street parking,4,S,4HR,S-S,188,,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 Bridger
Las Vegas, Nevada
(36.168364, -115.145533)"
469,475,Surface,Office Complex,N,20,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,430.339091669378,10523.7647874338,,,,,,,,,,,2017,"716 S 6th St
Las Vegas, Nevada
(36.161036, -115.144573)"
210,213,Surface,Law Office,N,5,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,153.539493784696,1071.20447816669,,,,,,,,,,,2017,"624 S 9th St
Las Vegas, Nevada
(36.16068, -115.140419)"
75,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,231.994467311417,,On Street parking,4,N,4HR,S-S,110,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"600 E. Carson
Las Vegas, Nevada
(36.16758, -115.140276)"
436,442,Garage,Lewis Garage,Y,405,,,Y,4,20,,"$10 First hour, then $2 per 30 min  Hours of operation 8am-6pm",115,,N,,,,,,,N,,,Private,Douglas Parking,N,Government,,,,624.353802802404,24336.729804265,,,,,,,,,,,2017,"321 S Casino Center Blvd
Las Vegas, Nevada
(36.167537, -115.146067)"
47,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,106.780936722016,,On Street parking,4,E,10HR,M-F,31,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"700 S. 4th
Las Vegas, Nevada
(36.162526, -115.146508)"
